"DATEKEY","DATEVALUE","CYEAR","CQTR","CMONTH","DAYNO","STARTOFMONTH","ENDOFMONTH","MONTHNAME","DAYOFWEEKNAME"
20140305,2014-03-05,2014,1,3,5,2014-03-01,2014-03-31,"MARCH    ","WED"
20140306,2014-03-06,2014,1,3,6,2014-03-01,2014-03-31,"MARCH    ","THU"
20140307,2014-03-07,2014,1,3,7,2014-03-01,2014-03-31,"MARCH    ","FRI"
20140308,2014-03-08,2014,1,3,8,2014-03-01,2014-03-31,"MARCH    ","SAT"
20140309,2014-03-09,2014,1,3,9,2014-03-01,2014-03-31,"MARCH    ","SUN"
20140310,2014-03-10,2014,1,3,10,2014-03-01,2014-03-31,"MARCH    ","MON"
20140311,2014-03-11,2014,1,3,11,2014-03-01,2014-03-31,"MARCH    ","TUE"
20140312,2014-03-12,2014,1,3,12,2014-03-01,2014-03-31,"MARCH    ","WED"
20140313,2014-03-13,2014,1,3,13,2014-03-01,2014-03-31,"MARCH    ","THU"
20140314,2014-03-14,2014,1,3,14,2014-03-01,2014-03-31,"MARCH    ","FRI"
20140315,2014-03-15,2014,1,3,15,2014-03-01,2014-03-31,"MARCH    ","SAT"
20140316,2014-03-16,2014,1,3,16,2014-03-01,2014-03-31,"MARCH    ","SUN"
20140317,2014-03-17,2014,1,3,17,2014-03-01,2014-03-31,"MARCH    ","MON"
20140318,2014-03-18,2014,1,3,18,2014-03-01,2014-03-31,"MARCH    ","TUE"
20140319,2014-03-19,2014,1,3,19,2014-03-01,2014-03-31,"MARCH    ","WED"
20140320,2014-03-20,2014,1,3,20,2014-03-01,2014-03-31,"MARCH    ","THU"
20140321,2014-03-21,2014,1,3,21,2014-03-01,2014-03-31,"MARCH    ","FRI"
20140322,2014-03-22,2014,1,3,22,2014-03-01,2014-03-31,"MARCH    ","SAT"
20140323,2014-03-23,2014,1,3,23,2014-03-01,2014-03-31,"MARCH    ","SUN"
20140324,2014-03-24,2014,1,3,24,2014-03-01,2014-03-31,"MARCH    ","MON"
20140325,2014-03-25,2014,1,3,25,2014-03-01,2014-03-31,"MARCH    ","TUE"
20140326,2014-03-26,2014,1,3,26,2014-03-01,2014-03-31,"MARCH    ","WED"
20140327,2014-03-27,2014,1,3,27,2014-03-01,2014-03-31,"MARCH    ","THU"
20140328,2014-03-28,2014,1,3,28,2014-03-01,2014-03-31,"MARCH    ","FRI"
20140329,2014-03-29,2014,1,3,29,2014-03-01,2014-03-31,"MARCH    ","SAT"
20140330,2014-03-30,2014,1,3,30,2014-03-01,2014-03-31,"MARCH    ","SUN"
20140331,2014-03-31,2014,1,3,31,2014-03-01,2014-03-31,"MARCH    ","MON"
20140401,2014-04-01,2014,2,4,1,2014-04-01,2014-04-30,"APRIL    ","TUE"
20140402,2014-04-02,2014,2,4,2,2014-04-01,2014-04-30,"APRIL    ","WED"
20140403,2014-04-03,2014,2,4,3,2014-04-01,2014-04-30,"APRIL    ","THU"
20140404,2014-04-04,2014,2,4,4,2014-04-01,2014-04-30,"APRIL    ","FRI"
20140405,2014-04-05,2014,2,4,5,2014-04-01,2014-04-30,"APRIL    ","SAT"
20140406,2014-04-06,2014,2,4,6,2014-04-01,2014-04-30,"APRIL    ","SUN"
20140407,2014-04-07,2014,2,4,7,2014-04-01,2014-04-30,"APRIL    ","MON"
20140408,2014-04-08,2014,2,4,8,2014-04-01,2014-04-30,"APRIL    ","TUE"
20140409,2014-04-09,2014,2,4,9,2014-04-01,2014-04-30,"APRIL    ","WED"
20140410,2014-04-10,2014,2,4,10,2014-04-01,2014-04-30,"APRIL    ","THU"
20140411,2014-04-11,2014,2,4,11,2014-04-01,2014-04-30,"APRIL    ","FRI"
20140412,2014-04-12,2014,2,4,12,2014-04-01,2014-04-30,"APRIL    ","SAT"
20140413,2014-04-13,2014,2,4,13,2014-04-01,2014-04-30,"APRIL    ","SUN"
20140414,2014-04-14,2014,2,4,14,2014-04-01,2014-04-30,"APRIL    ","MON"
20140415,2014-04-15,2014,2,4,15,2014-04-01,2014-04-30,"APRIL    ","TUE"
20140416,2014-04-16,2014,2,4,16,2014-04-01,2014-04-30,"APRIL    ","WED"
20140417,2014-04-17,2014,2,4,17,2014-04-01,2014-04-30,"APRIL    ","THU"
20140418,2014-04-18,2014,2,4,18,2014-04-01,2014-04-30,"APRIL    ","FRI"
20140419,2014-04-19,2014,2,4,19,2014-04-01,2014-04-30,"APRIL    ","SAT"
20140420,2014-04-20,2014,2,4,20,2014-04-01,2014-04-30,"APRIL    ","SUN"
